CFM,Color Temp,RGB (0-255),,,HEX RGB (00 - FF)
1931 CIE (2deg) or 1964 CIE (10deg),(Kelvin),R,G,B,RGB
2deg,1000,255,51,0,#ff3300
10deg,1000,255,56,0,#ff3800
2deg,1100,255,69,0,#ff4500
10deg,1100,255,71,0,#ff4700
2deg,1200,255,82,0,#ff5200
10deg,1200,255,83,0,#ff5300
2deg,1300,255,93,0,#ff5d00
10deg,1300,255,93,0,#ff5d00
2deg,1400,255,102,0,#ff6600
10deg,1400,255,101,0,#ff6500
2deg,1500,255,111,0,#ff6f00
10deg,1500,255,109,0,#ff6d00
2deg,1600,255,118,0,#ff7600
10deg,1600,255,115,0,#ff7300
2deg,1700,255,124,0,#ff7c00
10deg,1700,255,121,0,#ff7900
2deg,1800,255,130,0,#ff8200
10deg,1800,255,126,0,#ff7e00
2deg,1900,255,135,0,#ff8700
10deg,1900,255,131,0,#ff8300
2deg,2000,255,141,11,#ff8d0b
10deg,2000,255,137,18,#ff8912
2deg,2100,255,146,29,#ff921d
10deg,2100,255,142,33,#ff8e21
2deg,2200,255,152,41,#ff9829
10deg,2200,255,147,44,#ff932c
2deg,2300,255,157,51,#ff9d33
10deg,2300,255,152,54,#ff9836
2deg,2400,255,162,60,#ffa23c
10deg,2400,255,157,63,#ff9d3f
2deg,2500,255,166,69,#ffa645
10deg,2500,255,161,72,#ffa148
2deg,2600,255,170,77,#ffaa4d
10deg,2600,255,165,79,#ffa54f
2deg,2700,255,174,84,#ffae54
10deg,2700,255,169,87,#ffa957
2deg,2800,255,178,91,#ffb25b
10deg,2800,255,173,94,#ffad5e
2deg,2900,255,182,98,#ffb662
10deg,2900,255,177,101,#ffb165
2deg,3000,255,185,105,#ffb969
10deg,3000,255,180,107,#ffb46b
2deg,3100,255,189,111,#ffbd6f
10deg,3100,255,184,114,#ffb872
2deg,3200,255,192,118,#ffc076
10deg,3200,255,187,120,#ffbb78
2deg,3300,255,195,124,#ffc37c
10deg,3300,255,190,126,#ffbe7e
2deg,3400,255,198,130,#ffc682
10deg,3400,255,193,132,#ffc184
2deg,3500,255,201,135,#ffc987
10deg,3500,255,196,137,#ffc489
2deg,3600,255,203,141,#ffcb8d
10deg,3600,255,199,143,#ffc78f
2deg,3700,255,206,146,#ffce92
10deg,3700,255,201,148,#ffc994
2deg,3800,255,208,151,#ffd097
10deg,3800,255,204,153,#ffcc99
2deg,3900,255,211,156,#ffd39c
10deg,3900,255,206,159,#ffce9f
2deg,4000,255,213,161,#ffd5a1
10deg,4000,255,209,163,#ffd1a3
2deg,4100,255,215,166,#ffd7a6
10deg,4100,255,211,168,#ffd3a8
2deg,4200,255,217,171,#ffd9ab
10deg,4200,255,213,173,#ffd5ad
2deg,4300,255,219,175,#ffdbaf
10deg,4300,255,215,177,#ffd7b1
2deg,4400,255,221,180,#ffddb4
10deg,4400,255,217,182,#ffd9b6
